date,user,message
2024-07-03 18:55:00,Siddhi Didi,"Are 5a
"
2024-07-03 18:55:00,Sahil,"Tya divshi thanyala baghitlas na
"
2024-07-03 18:55:00,Siddhi Didi,"Are 5 la nhi 4 la 11.30chi moviephudhe3 tas pakad
"
2024-07-03 18:55:00,Siddhi Didi,"Haa
"
2024-07-03 18:56:00,Sahil,"Ok
"
2024-07-04 18:42:00,Siddhi Didi,"Sahil
"
2024-07-04 18:42:00,Siddhi Didi,"Phochala ka tu
"
2024-07-04 19:18:00,Sahil,"Ho kadhich
"
2024-07-04 19:18:00,Sahil,"Siddhi ne sangitla nahi tula?
"
2024-07-04 22:41:00,Siddhi Didi,"Ho are te gadbad hoti na tar rahun gela
"
2024-07-04 22:47:00,Sahil,"Ok ok
"
2024-07-05 11:12:00,Sahil,"191998
"
2024-07-05 13:20:00,Siddhi Didi,"Sahil
"
2024-07-05 13:20:00,Siddhi Didi,"Nighalat
"
2024-07-05 13:20:00,Siddhi Didi,"Tumhi ki ajun chalu ahe interview
"
2024-07-05 13:20:00,Sahil,"2 vajta chalu honar ahe
"
2024-07-05 13:21:00,Siddhi Didi,"Ohhk bhetali na
"
2024-07-05 13:21:00,Sahil,"Kai
"
2024-07-05 13:21:00,Siddhi Didi,"Location
"
2024-07-05 13:21:00,Siddhi Didi,"Company
"
2024-07-05 13:21:00,Sahil,"Ho bhetli
"
2024-08-23 12:55:00,Siddhi Didi,"Sahil
"
2024-08-23 12:56:00,Sahil,"Bolo
"
2024-08-23 12:56:00,Siddhi Didi,"Siddhu la vichar wifi cha
"
2024-08-23 12:56:00,Siddhi Didi,"Password kai she
"
2024-08-23 12:56:00,Siddhi Didi,"Amchya wifi cha password
"
2024-08-23 12:56:00,Sahil,"Qwerty123456
"
2024-08-23 12:57:00,Siddhi Didi,"Okkkk
"
2024-08-23 12:57:00,Sahil,"Ha zhala nahi tr Qwerty@123456
"
2024-08-23 13:03:00,Siddhi Didi,"Ha zala
"
2024-08-23 13:03:00,Siddhi Didi,"Thank you shahil
"
2024-08-23 22:10:00,Siddhi Didi,"null
"
2024-08-23 22:29:00,Siddhi Didi,"Anydesk accept kar
"
2024-08-23 22:29:00,Siddhi Didi,"null
"
2024-08-24 12:30:00,Siddhi Didi,"1) flooding in switches.
"
2024-08-24 13:50:00,Siddhi Didi,"2) endpoint and servers he mala network chya bhaset shikav
"
2024-08-24 13:52:00,Siddhi Didi,"Peer to peer architecture
"
2024-08-24 20:20:00,Siddhi Didi,"TCP 3 way handshake protocol
"
2024-08-25 19:51:00,Siddhi Didi,"sdn chi QB dili ahe tech tumachi assignment aahe na
"
2024-08-25 19:51:00,Siddhi Didi,"Tech questions assignment madhe lihaychi ahet na
"
2024-08-25 19:51:00,Sahil,"Ho he tu ka vichartes?
"
2024-08-25 19:51:00,Sahil,"Siddhi kuthe ahe?
"
2024-09-07 07:50:00,Sahil,"<Media omitted>
"
2024-09-07 07:50:00,Sahil,"<Media omitted>
"
2024-09-07 07:50:00,Sahil,"<Media omitted>
"
2024-09-07 10:11:00,Siddhi Didi,"Mastt😍😍😍😍
"
2024-09-07 10:11:00,Siddhi Didi,"Decoration dakhav
"
2024-09-07 10:15:00,Sahil,"Recording keli Ni ahe nantr dakhavti
"
2024-09-07 10:15:00,Siddhi Didi,"Ho aramat de
"
2024-09-17 19:23:00,Siddhi Didi,"https://youtu.be/C2Vps7aBhCA?si=QqeFsZaSzFi6W4qR
"
2024-09-19 07:17:00,Siddhi Didi,"null
"
2024-09-19 07:21:00,Sahil,"Hi
"
2024-09-19 07:22:00,Sahil,"Hi
"
2024-09-19 07:22:00,Sahil,"null
"
2024-09-19 09:50:00,Siddhi Didi,"Uthali hoti sahil
"
2024-09-19 09:50:00,Siddhi Didi,"Te geli pn
"
2024-09-19 10:39:00,Sahil,"null
"
2024-09-19 10:39:00,Siddhi Didi,"null
"
2024-09-19 10:40:00,Sahil,"null
"
2024-09-19 10:41:00,Sahil,"A bai
"
2024-09-19 10:41:00,Sahil,"null
"
2024-09-19 10:42:00,Sahil,"null
"
2024-09-19 10:49:00,Siddhi Didi,"null
"
2024-09-20 12:01:00,Siddhi Didi,"<Media omitted>
"
2024-09-20 12:01:00,Siddhi Didi,"<Media omitted>
"
2024-09-20 12:01:00,Siddhi Didi,"<Media omitted>
"
2024-09-20 12:01:00,Siddhi Didi,"<Media omitted>
"
2024-09-20 12:01:00,Siddhi Didi,"<Media omitted>
"
2024-09-20 12:01:00,Siddhi Didi,"<Media omitted>
"
2024-09-20 12:01:00,Siddhi Didi,"<Media omitted>
"
2024-09-20 12:01:00,Siddhi Didi,"<Media omitted>
"
2024-09-20 12:01:00,Siddhi Didi,"Sahil hyche prints ana
"
2024-09-20 13:53:00,Siddhi Didi,"null
"
2024-09-21 11:49:00,Siddhi Didi,"<Media omitted>
"
2024-09-21 11:49:00,Siddhi Didi,"Bgh hychi choti size sahil photo evdhi
"
2024-09-21 11:49:00,Siddhi Didi,"Det asel tar kadh nhi tar rahudet
"
2024-09-21 11:49:00,Sahil,"Passport?
"
2024-09-21 11:50:00,Siddhi Didi,"Passport size
"
2024-09-21 11:50:00,Siddhi Didi,"Hoo
"
2024-09-21 11:50:00,Sahil,"Kk nighel kadhto
"
2024-09-21 11:50:00,Siddhi Didi,"Achha tar 5 aan
"
2024-09-21 11:50:00,Sahil,"5 nahi eka page vr 10 ki 15 yatt
"
2024-09-21 11:51:00,Siddhi Didi,"Are wahh
"
2024-09-21 11:51:00,Siddhi Didi,"Chalel
"
2024-09-21 11:51:00,Siddhi Didi,"😂🫢
"
2024-09-22 12:22:00,Sahil,"<Media omitted>
"
2024-09-22 12:28:00,Sahil,"<Media omitted>
"
2024-09-22 12:28:00,Sahil,"<Media omitted>
"
2024-09-23 23:39:00,Siddhi Didi,"null
"
2024-09-25 20:24:00,group_notification,"You blocked this contact. Tap to unblock.
"
2024-09-25 20:35:00,group_notification,"You unblocked this contact.
"
2024-09-29 21:52:00,Siddhi Didi,"null
"
2024-09-29 21:53:00,Siddhi Didi,"null
"
2024-09-29 21:56:00,Siddhi Didi,"null
"
2024-09-30 08:01:00,Siddhi Didi," Sonali Agrawal (HR Recruiter)Sonali Agrawal (HR Recruiter)
 • 3rd+ • 3rd+
Recruitment Specialist | Social Media Marketing Specialist | Digital Marketing ConsultantRecruitment Specialist | Social Media Marketing Specialist | Digital Marketing Consultant
16h •  16 hours ago

Follow

Deloitte is 𝗛𝗶𝗿𝗶𝗻𝗴 for 2024.
hashtag#Fresher and hashtag#experienced candidates for work-from-home opportunity 
𝗦𝗮𝗹𝗮𝗿𝘆 3 to 35 LPA
hashtag#Apply Here :- https://lnkd.in/dTAJSRmv

Multiple Positions-30 for 𝗙𝗿𝗲𝘀𝗵𝗲𝗿𝘀 and 𝗚𝗿𝗮𝗱𝘂𝗮𝘁𝗲𝘀 can 𝗮𝗽𝗽𝗹𝘆
150+ Vacancies Available.

Comment '𝗬𝗘𝗦' and like the post.

I will go through your account and message you if your profile matches.
"
2024-09-30 08:01:00,Siddhi Didi,"he bgh linkdein var ahe
"
2024-09-30 08:01:00,Siddhi Didi,"Sonali Agrawal  hine post kela ahe
"
2024-09-30 11:24:00,Siddhi Didi,"sahil mummy la sang me late yeil aaj ghari
"
2024-09-30 11:24:00,Siddhi Didi,"jevun yenar
"
2024-09-30 13:02:00,Sahil,"Ok
"
2024-09-30 13:03:00,Sahil,"Sangitla
"
2024-10-09 11:42:00,Siddhi Didi,"null
"
2024-10-09 11:42:00,Siddhi Didi,"Sahillll
"
2024-10-09 11:45:00,Sahil,"Bol
"
2024-10-09 11:45:00,Sahil,"null
"
2024-10-09 11:46:00,Sahil,"null
"
2024-10-09 11:47:00,Siddhi Didi,"Siddhu ahe tikde
"
2024-10-09 11:48:00,Sahil,"Ho
"
2024-10-09 11:48:00,Siddhi Didi,"Asel tar tila sang what app bgh ticha
"
2024-10-09 11:48:00,Sahil,"Ok
"
2024-10-11 11:37:00,Siddhi Didi,"null
"
2024-10-11 11:49:00,Siddhi Didi,"Nigha re tumhi
"
2024-10-11 11:49:00,Siddhi Didi,"Mummy ali amhi yetoy
"
2024-10-11 11:49:00,Siddhi Didi,"Ya tumhi pn
"
2024-10-11 11:49:00,Siddhi Didi,"12.30 adhich alat tari chalel
"
2024-10-11 11:49:00,Siddhi Didi,"null
"
2024-10-22 21:38:00,Siddhi Didi,"BNP Paribas, Infinity, Building No.4, 601, Off Film City Road, Malad, Raheja Housing and Commercial Complex, 

B-Wing, 4th Floor.

Malad East, Mumbai, 

Maharashtra 400097
"
2024-10-22 21:50:00,Sahil,"<Media omitted>
"
2024-10-22 21:55:00,Sahil,"<Media omitted>
"
2024-10-22 21:57:00,Sahil,"<Media omitted>
"
2024-10-22 21:57:00,Sahil,"<Media omitted>
"
2024-10-22 21:58:00,Sahil,"<Media omitted>
"
2024-10-24 11:04:00,Siddhi Didi,"sahil
"
2024-10-24 11:04:00,Siddhi Didi,"tumhi clg madhe ahet kai
"
2024-10-24 11:04:00,Siddhi Didi,"siddhu ali clg la
"
2024-10-25 09:13:00,Siddhi Didi,"Sahil
"
2024-10-25 09:14:00,Siddhi Didi,"Siddhu la sang tichys email var ek code ala asel to dyla
"
2024-10-25 09:18:00,Sahil,"Ok
"
2024-10-25 09:20:00,Sahil,"948388
"
2024-10-25 09:21:00,Siddhi Didi,"zala
"
2024-10-29 11:23:00,Siddhi Didi,"shahil
"
2024-10-29 11:23:00,Siddhi Didi,"siddhu ahe tikde
"
2024-10-29 11:24:00,Siddhi Didi,"tila sang mala internshala ch tiche id and password pathv
"
2024-10-29 11:42:00,Siddhi Didi,"22 takayla sang shahil
"
2024-10-29 11:42:00,Siddhi Didi,"siddhu la
"
2024-10-29 11:42:00,Sahil,"Tine kela ahe bagh message tula
"
2024-10-29 11:43:00,Sahil,"Net nahi ahe
"
2024-10-29 11:43:00,Sahil,"Tichya kade
"
2024-10-29 11:43:00,Sahil,"Mi train madhe
"
2024-10-29 11:43:00,Sahil,"Ti ghari jayla nighali ghari jaun baghel
"
2024-10-29 11:43:00,Siddhi Didi,"ohh tumhi nighalat opan
"
2024-10-29 11:43:00,Siddhi Didi,"thik thik
"
2024-11-03 20:48:00,Siddhi Didi,"<Media omitted>
"
2024-11-03 20:49:00,Siddhi Didi,"He gana tu gatos na siddhu bolli hi bgh kiti bakwas gatey tu bara gatos
"
2024-11-03 20:50:00,Siddhi Didi,"🤭
"
2024-11-05 15:26:00,Siddhi Didi,"Sahil
"
2024-11-05 15:27:00,Siddhi Didi,"Good understanding and experience in PL-SQL,
"
2024-11-05 15:27:00,Siddhi Didi,"Experience in any IGA Platform like Saviynt or others will be preferred.
"
2024-11-05 15:27:00,Siddhi Didi,"He vale topics aheet
"
2024-11-05 15:28:00,Siddhi Didi,"Shikavashil mala
"
2024-11-05 15:28:00,Siddhi Didi,"Aaj ani udya parva
"
2024-11-05 15:28:00,Siddhi Didi,"2 divas ahet fakt mAzya kade
"
2024-11-06 20:06:00,Sahil,"Hi
"
2024-11-06 20:10:00,Siddhi Didi,"Sahil
"
2024-11-06 20:10:00,Siddhi Didi,"Udya karu apn
"
2024-11-06 20:10:00,Siddhi Didi,"Aaj nko
"
2024-11-06 20:10:00,Siddhi Didi,"null
"
2024-11-06 20:10:00,Sahil,"Ok
"
2024-11-29 18:22:00,Siddhi Didi,"hi
"
2024-11-29 18:23:00,Siddhi Didi,"siddhu che te qb ikde pathv mam ne dilela hujur cha mobile switch off zala tr qb tyat rahila
"
2024-11-29 18:24:00,Sahil,"1.	Write a short note on the Application Perspective in research.
2.	Explain the Objective Perspective in research.
3.	Justify why many studies are combinations of one or more objectives.
4.	Compare and contrast qualitative and quantitative research.
5.	Compare and contrast structured and unstructured research methods.
6.	Provide a brief explanation of Cross-sectional studies.
7.	Explain Longitudinal studies.
8.	Discuss Before-and-after studies.
9.	Compare and contrast Longitudinal studies with Before-and-after studies.
10.	Identify and discuss the disadvantages of Before-and-after studies.
11.	List the disadvantages of Longitudinal studies, including the extra practice and conditioning effects.
12.	Briefly explain Retrospective study design.
13.	Briefly explain Prospective study design.
14.	Provide 3 examples of individual study designs.
15.	Differentiate between Experimental and Non-experimental study designs.
16.	Explain Exposed study design.
17.	Describe a Quasi-experimental design.
18.	Write a short note on After-only experimental design.
19.	What is Placebo design?
20.	Explain Comparative study design.
21.	Describe the Control group in experimental design.
22.	Explain Crossover Comparative Experimental Design.
23.	Explain Trend studies and Cohort studies.
24.	Provide a brief explanation of Cohort studies.
25.	Write a short note on Case study.
26.	Explain why case study is an important study design for qualitative research.
27.	Explain what a Literature Survey is.
28.	Write a short note on journal abbreviations.
29.	Explain Journal Impact Factor and provide an example of how to calculate it.
30.	List and briefly describe various tools for measuring journal impact factor.
31.	Write a short note on a Monograph.
32.	Define an Abstract, and list general considerations for writing an abstract.
33.	Explain the purpose of an abstract in research papers.
34.	Compare and contrast the Abstract and Introduction sections in research papers.
35.	Explain the role and purpose of the Introduction section in a research paper.
36.	Describe the Web of Science database and its purpose.
37.	What is a Citation Index? Write a short note on major citation indexing services.
38.	List the advantages of citation indexes.
"
2024-11-29 18:24:00,Siddhi Didi,"ok thank you
"
2024-11-29 18:24:00,Siddhi Didi,"hujur la sangte me
"
2024-12-09 06:23:00,Siddhi Didi,"Sahil
"
2024-12-09 06:23:00,Siddhi Didi,"Siddhu la jara bgh
"
2024-12-09 06:24:00,Sahil,"Hoo
"
2024-12-09 06:24:00,Sahil,"Mahit ahe mala sagla
"
2024-12-09 06:24:00,Siddhi Didi,"Tine kal pasun kahi nhi khalla
"
2024-12-09 06:24:00,Siddhi Didi,"Adhi khayla de tila
"
2024-12-09 06:24:00,Sahil,"Deto tila aaj
"
2024-12-09 06:24:00,Sahil,"Hoo
"
2024-12-09 06:24:00,Siddhi Didi,"Haa khanar nhi te
"
2024-12-09 06:24:00,Siddhi Didi,"Kai tari as khelavat khayla lav
"
2024-12-09 06:24:00,Sahil,"Ho
"
2024-12-09 06:24:00,Siddhi Didi,"Chai pan de garam
"
2024-12-09 06:25:00,Siddhi Didi,"Thandi vhi
"
2024-12-09 06:25:00,Sahil,"Tu pn ek kaam kar office la ja
"
2024-12-09 06:25:00,Sahil,"Jara bara vatel
"
2024-12-09 06:25:00,Sahil,"Hoo
"
2024-12-09 06:25:00,Sahil,"Abi tu pn khain ghe tu pn ratri nahi jevlis
"
2024-12-09 06:25:00,Siddhi Didi,"Nhii jau sakat me office al
"
2024-12-09 06:25:00,Siddhi Didi,"Ekde mummy la ekt sodun
"
2024-12-09 06:25:00,Sahil,"Ok ok thik ahe pn khaun ghe tu pn kai tari
"
2024-12-09 06:25:00,Siddhi Didi,"Man nai kart re
"
2024-12-09 06:26:00,Siddhi Didi,"Amhi jhoplo hi nhj
"
2024-12-09 06:26:00,Sahil,"Ho bolli siddhi
"
2024-12-09 06:26:00,Siddhi Didi,"Tu tila kahyla de
"
2024-12-09 06:26:00,Sahil,"Bagh tu zoplis pn nahi ani khallas pn nahi
"
2024-12-09 06:26:00,Sahil,"Ajari padshil
"
2024-12-09 06:26:00,Siddhi Didi,"Nai padnat
"
2024-12-09 06:27:00,Sahil,"Thoda sa kha mahit ahe Maan nahi pn atta nahi khallas tr mg ugach parat doctor kade hya saglya madhe
"
2024-12-09 06:27:00,Sahil,"Ho dein mi
"
2024-12-09 06:27:00,Siddhi Didi,"Haa
"
2024-12-09 06:27:00,Siddhi Didi,"Thik ahe
"
2024-12-09 06:27:00,Sahil,"Tila hoddie ghalayla laav
"
2024-12-09 06:27:00,Sahil,"Thandi ahe
"
2024-12-09 06:27:00,Siddhi Didi,"Ha ghatali
"
2024-12-09 06:27:00,Sahil,"Ok ok thik ahe
"
2024-12-09 07:07:00,Siddhi Didi,"Sahil
"
2024-12-09 07:08:00,Siddhi Didi,"Siddhu phochali ka
"
2024-12-09 07:08:00,Siddhi Didi,"Ani time khalla ka
"
2024-12-09 07:08:00,Siddhi Didi,"Te hi sang
"
2024-12-09 07:16:00,Siddhi Didi,"null
"
2024-12-09 07:16:00,Sahil,"Hioo
"
2024-12-09 07:16:00,Sahil,"Ho khatoy medu vada sambar
"
2024-12-09 07:17:00,Sahil,"Muddam tila anla ahe khatey bolta bolta
"
2024-12-09 07:18:00,Siddhi Didi,"Ha khau de khau
"
2024-12-09 07:18:00,Siddhi Didi,"🥹
"
2024-12-09 07:18:00,Siddhi Didi,"Time asel tar
"
2024-12-09 07:18:00,Siddhi Didi,"Ek tas jhop sang tila
"
2024-12-09 07:18:00,Siddhi Didi,"10 ch paper ahe na
"
2024-12-09 07:18:00,Siddhi Didi,"Ek tas jhopel
"
2024-12-09 14:53:00,Sahil,"Hi
"
2024-12-09 14:53:00,Sahil,"Siddhi yeil atta
"
2024-12-09 14:53:00,Sahil,"Nit ahe na sagla?
"
2024-12-09 14:53:00,Siddhi Didi,"Ali
"
2024-12-09 14:53:00,Sahil,"Kaki vagre badbad karyt?
"
2024-12-09 14:53:00,Sahil,"Sandwich ahe siddhu kade khaun ghe
"
2024-12-09 14:53:00,Siddhi Didi,"Nhi te jhopali ahs
"
2024-12-09 14:53:00,Sahil,"Ok good 👍🏻
"
2024-12-09 14:53:00,Siddhi Didi,"Te thakali
"
2024-12-09 14:53:00,Siddhi Didi,"Haa kahte me
"
2024-12-09 14:53:00,Sahil,"Cheese vala ahe avdel na ?
"
2024-12-09 14:53:00,Siddhi Didi,"Are me jevali sahil
"
2024-12-09 14:54:00,Siddhi Didi,"Tari khate
"
2024-12-09 14:54:00,Sahil,"Asudet tari kha
"
2024-12-09 14:54:00,Siddhi Didi,"Ho avadat cheese mala
"
2024-12-09 14:54:00,Siddhi Didi,"Ho khate
"
2024-12-09 14:54:00,Sahil,"Ha Ani siddhu la bagh ti ghabarli ahe
"
2024-12-09 14:54:00,Sahil,"Tila Sandhya kal chi bhiti vattey
"
2024-12-09 14:54:00,Sahil,"Sandhya kali parat bhandan zhali tr mhanun
"
2024-12-09 15:03:00,Siddhi Didi,"te tr honarch ahe
"
2024-12-09 15:31:00,Siddhi Didi,"azure ready mfa password reset, slowness issue 
redis os
"
2024-12-09 15:32:00,Siddhi Didi,"ad creations, communication
"
2024-12-09 15:34:00,Siddhi Didi,"internet trouble shoot excel powerpoint outlook
there was no stipend 4 5 lc
"
2024-12-09 15:35:00,Siddhi Didi,"4 and 5 nantr interview samantha 
dhcp dil
network configuration
"
2024-12-09 15:51:00,Sahil,"Aaik na ani kontya company cha interview ahe te sang naav
"
2024-12-09 15:51:00,Siddhi Didi,"Ha thmb
"
2024-12-09 15:56:00,Siddhi Didi,"T&t
"
2024-12-09 15:57:00,Sahil,"Phude infotech vagre kai ahe t&t chya?
"
2024-12-09 16:07:00,Siddhi Didi,"Turbo as kai tari abe
"
2024-12-09 16:07:00,Siddhi Didi,"Eka t ch turbo
"
2024-12-09 17:28:00,Siddhi Didi,"Turner and townsend
"
2024-12-09 19:36:00,Sahil,"Ok
"
2024-12-09 20:32:00,Sahil,"<Media omitted>
"
2024-12-09 20:32:00,Sahil,"ajun sagle find nahi kele ahet he ekda check kr ani sang ki asech yetat ka te questions
"
2024-12-09 20:34:00,Siddhi Didi,"ho chalel
"
2024-12-09 20:34:00,Siddhi Didi,"evdhe karto adhi
"
2024-12-09 20:34:00,Siddhi Didi,"hech khup zale
"
2024-12-09 20:34:00,Sahil,"ok thik ahe he commenly asked questions ahet asech vichartat na
"
2024-12-09 21:07:00,Siddhi Didi,"bhulbhullaya 3 movie chi web site de
"
2024-12-09 21:07:00,Sahil,"Ok
"
2024-12-09 21:07:00,Siddhi Didi,"me ani siddhu baghnar ata
"
2024-12-09 21:07:00,Sahil,"https://hdhub4u.earth/bhool-bhulaiyaa-3-2024-hindi-webrip-full-movie/
"
2024-12-09 21:08:00,Sahil,"Ho ho bagh na
"
2024-12-09 21:08:00,Sahil,"Ekdam high quality download kr
"
2024-12-09 21:08:00,Siddhi Didi,"ho
"
2024-12-09 21:09:00,Siddhi Didi,"4 gb cha kela
"
2024-12-09 21:09:00,Sahil,"Ok ok bagha Masta paiki
"
2024-12-10 19:40:00,Sahil,"Abhudidi
"
2024-12-10 19:56:00,Siddhi Didi,"Ha
"
2024-12-10 19:56:00,Siddhi Didi,"Bol sahil
"
2024-12-10 20:13:00,Sahil,"Ghari thik ahe ka?
"
2024-12-10 20:14:00,Siddhi Didi,"Nhi re mummy manse chya mansala bolvun anayla geli te aata ratri yeil
"
2024-12-10 20:14:00,Sahil,"🤦🏻‍♂️
"
2024-12-10 20:14:00,Sahil,"Siddhi kai kartey.
"
2024-12-10 20:15:00,Sahil,"Interview cha preperation kartey na
"
2024-12-10 20:15:00,Siddhi Didi,"Siddhu jhopali
"
2024-12-10 20:15:00,Sahil,"Kai
"
2024-12-10 20:15:00,Siddhi Didi,"Nhi
"
2024-12-10 20:15:00,Siddhi Didi,"Tich dok jad zal ahe
"
2024-12-10 20:15:00,Sahil,"Tabbet bari ahe na thixhi?
"
2024-12-10 20:15:00,Siddhi Didi,"Jhopali manje ashich padali ahe
"
2024-12-10 20:15:00,Sahil,"Mummy mule tension ghetla ka tine?
"
2024-12-10 20:16:00,Siddhi Didi,"Hooo
"
2024-12-10 20:16:00,Siddhi Didi,"Te kai bc rojch zal ahe
"
2024-12-10 20:16:00,Sahil,"Are yaar hya kaki pn na Ani kaka pn
"
2024-12-10 20:16:00,Sahil,"Fkt kaki chi chuk nahi ahe
"
2024-12-10 20:16:00,Sahil,"Asudet jaudet tu kai kartes?
"
2024-12-10 20:16:00,Sahil,"Tu thik ahes na?
"
2024-12-10 20:16:00,Sahil,"Jevlis na aaj?
"
2024-12-10 20:17:00,Siddhi Didi,"Me pn jhopli ho aaj jevali hoti
"
2024-12-10 20:17:00,Sahil,"Ok ok good 😊 tu pn kaar Aram nantr yudha ladhaycha ahe
"
2024-12-10 20:17:00,Sahil,"Jai mahishmati
"
2024-12-10 20:17:00,Siddhi Didi,"Hoooo he mart khar bolla
"
2024-12-10 20:18:00,Siddhi Didi,"Hooooo jaiii jaii
"
2024-12-10 20:18:00,Siddhi Didi,"😂😂
"
2024-12-10 20:18:00,Sahil,"Kaki tum age badho hum piche se bhaag jayenge
"
2024-12-10 20:18:00,Sahil,"😂
"
2024-12-10 20:19:00,Sahil,"Sod mi asach tucha mood divert karat hoto atta joke karun thoda tuzha tension Kami
"
2024-12-10 20:19:00,Sahil,"Kar tu Aram kr
"
2024-12-10 20:19:00,Siddhi Didi,"Ho jhopali ahe me mummy tar aaj sakali 4.45 la uthun tikde bght basli hoti
"
2024-12-10 20:19:00,Sahil,"Ami monjolika asa nahi bolli ka 😂
"
2024-12-10 20:20:00,Siddhi Didi,"Nhi
"
2024-12-10 20:20:00,Sahil,"Sod don't worry 😁 u can do this
"
2024-12-10 20:20:00,Siddhi Didi,"Hm
"
2024-12-10 20:20:00,Sahil,"Jastach tumha doghancha mood kharab zhala tr mala call Kara mi masta change karin tumcha mood
"
2024-12-10 20:21:00,Siddhi Didi,"Ha karto
"
2024-12-10 20:21:00,Sahil,"Ani mi Deva kade prarthana karto ki kaki na thoda samjude ki jasta nnonkai karayla
"
2024-12-10 20:21:00,Sahil,"🙏🏻
"
2024-12-10 20:21:00,Siddhi Didi,"Hmm
"
2024-12-10 20:24:00,Sahil,"<Media omitted>
"
2024-12-10 20:24:00,Sahil,"He bagh 😂
"
2024-12-10 20:25:00,Sahil,"<Media omitted>
"
2024-12-13 13:47:00,Siddhi Didi,"null
"
2024-12-19 10:52:00,Siddhi Didi,"null
"
2024-12-19 10:53:00,Siddhi Didi,"Sahil call kar mala
"
2024-12-19 12:15:00,Siddhi Didi,"null
"
2024-12-20 21:58:00,Sahil,"https://guessgame-6ir4.onrender.com
"
2024-12-20 23:25:00,Sahil,"Ha mi mazha ek project hota to deploy kela internet vr
"
2024-12-20 23:25:00,Sahil,"Aaj aap deploy karayla shiklo
"
2024-12-21 09:30:00,Siddhi Didi,"😍👌🏻👌🏻🥳
"
2024-12-21 09:30:00,Siddhi Didi,"Wowww masttttt
"
2024-12-26 23:40:00,Sahil,"https://tic-tac-toe-latest.onrender.com
"
2024-12-26 23:40:00,Sahil,"Ha load ghyayla time gheil pn bagh ekda open karun
"
2024-12-27 10:32:00,Siddhi Didi,"X and 0 ahe ha game
"
2024-12-27 10:32:00,Siddhi Didi,"Tu banavala
"
2024-12-27 10:41:00,Sahil,"Ho
"
2024-12-28 15:27:00,Sahil,"Hi
"
2024-12-28 15:54:00,Siddhi Didi,"Ha bol
"
2024-12-28 18:38:00,Sahil,"Kai kartes?
"
2024-12-28 18:54:00,Siddhi Didi,"Kai nai kam kart hoti
"
2024-12-28 18:54:00,Siddhi Didi,"Aatach sampla
"
2024-12-28 18:54:00,Siddhi Didi,"Bol kai zL
"
2024-12-28 19:08:00,Sahil,"Are asach kela hota message
"
2024-12-28 19:31:00,Sahil,"Tu free zhalis na ki message kr
"
